Date,CRY,BCOM,CLN9,NGN19,HGN9,GCQ9,C_N9,COU9,S_N9,LAN19,SIN9,CON9,LXN9,XBN9,SMN9,QSN9,SBN9,BON9,LNN9,W_N9,HON9,KCN9,LCQ9,LHN9,CTN9,LHM9,KWN9
2018-02-28,193.95,88.14,55.65,2.68,322.25,1367.0,417.75,59.86,1032.5,2165.25,17.05,60.37,3336.5,183.04,357.0,558.75,14.63,33.47,14016.0,553.75,185.26,136.5,110.35,79.45,76.7,78.43,579.0
2018-03-01,193.95,88.2,55.27,2.69,321.0,1353.8,420.25,59.34,1039.25,2169.0,16.92,59.81,3315.5,181.28,357.7,546.0,14.84,33.66,13681.0,573.5,183.65,138.2,110.3,79.13,77.2,78.1,596.0
2018-03-02,194.12,88.15,55.69,2.68,321.05,1372.0,419.75,59.74,1038.75,2173.25,17.12,60.22,3268.0,181.27,357.7,548.0,14.81,33.57,13669.0,566.0,184.02,137.1,110.05,79.0,76.93,78.78,584.25
2018-03-05,196.67,88.7,56.58,2.69,321.4,1368.3,421.5,60.74,1042.75,2175.0,17.07,61.26,3207.75,184.33,357.7,560.0,14.98,33.5,13647.5,575.25,186.86,136.25,110.63,79.23,77.64,79.0,592.25
2018-03-06,196.76,89.01,56.62,2.7,324.7,1383.7,422.0,60.92,1046.0,2181.5,17.45,61.45,3207.0,184.29,357.2,559.75,14.9,33.85,13896.0,575.25,187.42,136.3,111.0,79.4,77.83,79.18,591.75
2018-03-07,194.44,88.04,55.66,2.71,323.0,1375.7,422.25,59.9,1045.5,2134.0,17.15,60.39,3177.0,182.03,357.8,558.75,14.36,33.46,13817.0,570.75,185.17,135.95,111.0,79.4,77.66,79.18,586.75
2018-03-08,193.66,87.59,55.38,2.71,317.5,1370.2,425.25,59.57,1046.0,2146.0,17.17,60.01,3147.0,180.96,356.8,553.75,14.54,33.22,13493.5,574.5,183.75,135.8,109.78,79.33,77.82,79.18,587.25
2018-03-09,195.15,87.95,56.64,2.71,323.0,1372.7,423.0,60.91,1032.0,2161.25,17.28,61.39,3192.25,184.24,350.6,561.5,14.56,33.14,14080.0,567.5,187.48,135.5,109.88,79.33,78.29,79.18,578.25
2018-03-12,194.53,87.67,56.54,2.72,321.8,1369.5,423.0,60.75,1038.75,2136.0,17.21,61.22,3159.25,183.58,351.9,559.0,14.64,33.28,13901.0,568.0,186.1,135.0,109.98,79.0,78.38,78.85,582.5
2018-03-13,194.28,87.88,56.33,2.73,323.3,1376.1,424.75,60.71,1045.25,2147.75,17.3,61.17,3221.0,182.97,355.2,559.25,14.51,33.67,14096.5,567.5,186.1,137.0,109.55,78.95,78.42,78.8,581.0
2018-03-14,194.49,87.67,56.59,2.73,325.1,1374.5,423.25,60.89,1030.5,2131.0,17.21,61.35,3146.0,184.1,351.2,561.0,14.49,33.25,14057.5,570.0,186.82,136.5,110.0,79.4,78.28,79.25,588.0
