Date,HFRXGL,HFRXEH,HFRXM,HFRXED,HFRXFIC,HFRXDS,HFRXAR,HFRXRVA
2004-12-31,1136.76,1145.73,1113.83,1247.86,1000.0,1255.51,1025.12,1090.07
2005-01-31,1126.01,1134.57,1085.76,1234.34,1000.65,1256.4,1021.54,1090.14
2005-02-28,1135.91,1145.5,1106.88,1244.8,1010.34,1269.12,1024.41,1095.48
2005-03-31,1124.93,1127.75,1096.34,1239.37,1007.96,1268.78,1020.77,1087.82
2005-04-29,1105.16,1104.13,1075.94,1216.61,995.86,1250.48,1005.94,1080.24
2005-05-31,1106.73,1110.97,1080.98,1227.19,1003.16,1229.1,995.91,1071.99
2005-06-30,1116.85,1131.49,1086.84,1241.19,1021.36,1231.4,994.66,1065.53
2005-07-29,1135.49,1160.47,1088.23,1265.01,1041.06,1249.68,1004.11,1078.19
2005-08-31,1140.33,1159.84,1106.24,1272.95,1051.23,1262.7,1013.69,1082.28
2005-09-30,1152.94,1173.97,1145.55,1274.63,1064.5,1267.4,1026.01,1084.53
2005-10-31,1131.59,1142.92,1121.79,1248.5,1067.01,1253.16,1005.58,1077.62
2005-11-30,1150.69,1172.72,1156.92,1267.08,1074.59,1252.76,1010.51,1076.67
2005-12-30,1167.69,1193.71,1188.12,1282.96,1104.23,1270.65,1024.88,1079.49
2006-01-31,1196.32,1227.57,1231.58,1318.96,1131.94,1285.01,1039.36,1092.68
2006-02-28,1198.37,1231.91,1234.23,1311.82,1157.13,1276.25,1038.24,1098.13
2006-03-31,1212.16,1255.09,1226.29,1339.33,1174.21,1281.89,1040.01,1103.81
2006-04-28,1226.15,1262.8,1263.25,1359.74,1189.92,1293.37,1051.13,1111.91
2006-05-31,1210.04,1230.58,1225.15,1349.04,1192.09,1316.17,1056.21,1116.14
2006-06-30,1204.1,1218.04,1213.52,1341.6,1188.04,1319.4,1058.39,1119.34
2006-07-31,1197.24,1205.85,1196.83,1331.81,1195.95,1313.5,1065.33,1125.06
2006-08-31,1206.37,1219.86,1197.62,1338.62,1196.9,1318.21,1067.02,1134.14
2006-09-29,1212.39,1225.95,1190.76,1351.85,1206.06,1322.81,1072.28,1140.19
2006-10-31,1236.9,1260.77,1206.53,1377.89,1230.19,1345.03,1082.04,1161.18
2006-11-30,1255.95,1284.65,1223.28,1403.39,1246.72,1363.43,1087.33,1174.56
2006-12-29,1275.78,1303.85,1254.8,1415.36,1264.5,1392.09,1100.99,1194.41
2007-01-31,1294.9,1322.99,1261.76,1445.23,1280.83,1411.88,1115.03,1214.1
2007-02-28,1292.23,1320.22,1218.5,1453.83,1301.74,1426.58,1119.16,1220.12
2007-03-30,1295.89,1325.47,1201.0,1471.82,1302.27,1437.2,1125.11,1223.04
2007-04-30,1324.49,1362.13,1235.65,1510.5,1317.12,1461.64,1139.5,1233.54
2007-05-31,1358.24,1403.25,1282.33,1558.13,1339.13,1468.15,1157.61,1251.63
2007-06-29,1357.25,1397.31,1301.01,1543.49,1347.24,1471.95,1167.24,1249.72
2007-07-31,1344.62,1377.7,1260.23,1532.06,1359.16,1455.26,1171.32,1270.36
2007-08-31,1310.37,1355.98,1167.24,1501.69,1344.79,1443.35,1157.1,1237.08
2007-09-28,1327.1,1363.53,1223.14,1517.97,1367.03,1438.58,1156.72,1249.5
