Date,SPX,SVX,SGX,M1USSC,MZUSSV,MZUSSG,S5FINL,S53NRS,S5MATR,S5INDU,S5INFT,S5COND,S5HLTH,S5TELS,S5CONS,S5RLST,S5UTIL
2001-10-09,1056.75,517.59,539.17,94.46,932.86,1047.17,323.74,212.4,119.11,231.76,282.14,205.83,384.73,186.84,214.63,100.0,161.13
2001-10-10,1080.99,529.61,551.4,97.84,957.18,1084.11,329.3,219.86,122.13,237.77,292.25,212.24,391.11,188.55,217.03,99.19,163.84
2001-10-11,1097.43,538.54,558.95,100.82,970.35,1120.55,333.5,218.96,126.1,243.57,308.68,219.55,387.43,185.57,215.23,99.74,164.49
2001-10-12,1091.65,534.79,556.87,100.26,962.37,1114.46,328.67,219.07,125.35,241.63,311.21,216.73,388.68,183.25,212.67,99.48,163.94
2001-10-15,1089.98,532.71,557.22,100.4,964.4,1117.48,331.49,214.47,124.4,241.74,307.85,216.67,392.98,181.48,211.87,100.0,162.33
2001-10-16,1097.54,537.64,559.92,101.53,972.01,1131.29,336.53,216.44,125.54,241.74,313.48,217.88,393.39,178.7,211.46,98.37,165.63
2001-10-17,1077.09,528.59,548.55,99.15,953.79,1102.56,333.81,215.11,123.46,235.46,299.46,210.91,391.16,176.92,210.16,97.24,164.07
2001-10-18,1068.61,519.83,548.63,98.35,946.93,1092.58,330.54,208.51,122.67,234.9,299.88,208.87,388.74,174.0,211.43,96.78,159.01
2001-10-19,1073.48,520.13,553.11,99.29,954.09,1104.97,326.7,209.49,122.0,235.0,304.07,211.89,390.61,173.67,214.45,94.28,161.32
2001-10-22,1089.9,527.87,561.77,100.68,961.62,1119.66,335.28,212.46,125.19,238.03,312.17,213.62,398.22,170.56,216.69,91.84,159.32
2001-10-23,1084.78,527.28,557.33,100.08,957.42,1113.19,335.28,211.93,125.84,237.09,311.62,215.25,391.9,166.74,215.64,91.35,156.19
2001-10-24,1085.2,525.14,559.78,100.42,954.39,1116.32,335.01,209.86,125.4,237.76,319.25,213.4,390.63,167.08,214.86,88.23,150.64
2001-10-25,1100.09,532.53,567.29,102.73,966.72,1139.66,340.01,213.91,126.17,241.62,328.55,215.87,391.81,166.89,215.86,89.04,154.06
2001-10-26,1104.61,536.78,567.65,103.66,973.03,1151.22,341.67,218.16,127.44,245.77,325.4,217.46,390.85,168.69,217.12,88.59,153.04
2001-10-29,1078.3,524.37,553.76,101.53,958.77,1126.24,332.11,216.96,125.19,237.77,310.06,210.26,387.87,167.51,214.76,90.57,153.0
2001-10-30,1059.79,514.61,544.99,99.45,948.19,1100.84,329.11,210.39,123.52,232.62,303.44,205.47,383.23,163.56,213.2,91.9,150.12
2001-10-31,1059.78,513.07,546.45,100.71,955.44,1117.17,325.55,209.52,122.17,233.12,307.35,208.07,380.6,162.41,212.7,92.68,151.43
2001-11-01,1084.1,523.51,560.26,102.52,968.87,1132.36,331.78,213.72,124.64,239.45,321.8,213.03,385.04,165.35,215.83,94.15,151.22
2001-11-02,1087.2,524.39,562.45,102.17,967.34,1131.01,334.39,209.02,126.33,242.03,322.88,215.47,384.17,164.99,217.37,91.67,148.21
2001-11-05,1102.84,531.4,571.06,103.35,974.71,1144.11,340.16,207.6,126.7,246.35,332.26,220.21,384.95,166.38,218.51,92.72,152.23
2001-11-06,1118.86,537.79,580.62,104.74,985.13,1160.15,345.31,207.03,128.74,249.79,343.43,224.71,387.95,166.83,219.6,94.96,152.35
2001-11-07,1115.8,536.51,578.84,104.74,982.57,1164.59,347.01,207.53,129.33,249.04,343.5,222.28,385.13,165.19,219.32,94.57,150.0
2001-11-08,1118.54,538.67,579.46,104.31,981.55,1154.87,346.98,209.51,128.9,252.01,341.79,225.23,384.05,166.6,216.94,94.31,153.39
2001-11-09,1120.31,539.97,579.95,103.85,979.31,1151.82,345.18,214.34,129.43,252.07,342.42,226.14,382.45,167.63,217.19,93.07,154.35
2001-11-12,1118.33,538.19,579.72,104.27,981.77,1157.79,344.65,212.51,127.99,248.68,345.89,225.34,382.41,165.83,217.08,94.05,155.21
2001-11-13,1139.09,549.23,589.48,106.53,995.69,1185.2,351.57,214.97,131.09,253.97,357.1,231.74,384.73,166.44,218.48,95.32,157.03
2001-11-14,1141.21,548.97,591.81,107.64,1003.39,1197.82,353.34,204.03,133.36,255.95,359.15,236.15,383.16,167.19,220.12,95.8,153.65
2001-11-15,1142.24,547.16,594.53,106.67,999.72,1187.82,352.28,194.96,134.65,258.42,359.0,238.15,384.59,171.96,220.99,97.53,150.96
2001-11-16,1138.65,546.51,591.65,107.14,1003.46,1191.67,348.19,197.81,134.15,257.3,358.2,235.36,386.22,171.69,220.79,96.26,151.52
2001-11-19,1151.06,551.75,598.77,109.04,1012.09,1213.87,353.34,196.9,136.25,260.48,363.52,240.39,390.59,172.09,220.28,96.75,150.63
2001-11-20,1142.66,549.13,593.07,107.86,1007.72,1200.42,351.4,203.7,135.57,258.23,351.69,236.98,393.56,169.76,219.73,95.12,151.91
2001-11-21,1137.03,544.54,591.94,107.56,1004.7,1195.0,349.03,202.03,134.58,256.14,349.46,234.58,398.48,168.66,218.46,95.93,148.62
