Date,LBUSTRUU,LUATTRUU,LUACTRUU,LF98TRUU,LGTRTRUU,LEGATRUU,LECPTREU,LBEATREU,LACHTRUU,LAPCTRJU,LP06TREU,LP01TREU
2003-12-31,1158.44,1327.38,1432.74,692.26,138.91,293.42,137.99,137.11,100.0,109.19,127.85,119.38
2004-01-30,1167.76,1338.69,1447.76,705.47,139.37,294.51,138.78,137.94,99.32,109.6,128.91,122.38
2004-02-27,1180.4,1355.28,1465.79,703.7,139.55,296.03,140.65,139.8,99.18,110.35,130.88,123.66
2004-03-31,1189.24,1368.0,1479.63,708.48,141.61,299.31,142.03,141.13,99.29,109.39,132.09,124.91
2004-04-30,1158.3,1324.0,1433.11,703.66,135.53,288.37,140.9,139.75,95.98,109.26,130.63,125.51
2004-05-31,1153.66,1319.45,1422.74,691.74,136.55,289.78,140.56,139.4,96.63,109.55,130.47,123.9
2004-06-30,1160.18,1324.75,1429.02,701.66,136.79,290.63,140.94,139.78,97.02,108.58,130.78,126.05
2004-07-30,1171.68,1337.36,1446.8,711.2,136.08,290.57,142.22,141.04,97.7,108.52,132.08,127.65
2004-08-31,1194.03,1365.02,1481.2,725.15,139.34,296.93,144.25,142.9,97.5,109.99,133.57,129.24
2004-09-30,1197.27,1368.53,1490.32,735.68,141.27,300.43,144.93,143.49,98.7,110.79,133.98,130.82
2004-10-29,1207.31,1379.38,1504.87,748.97,145.44,307.63,146.12,144.79,98.66,110.73,135.05,132.09
2004-11-30,1197.68,1360.85,1489.56,758.0,150.71,315.78,147.59,146.32,98.81,111.28,136.54,134.85
2004-12-31,1208.7,1374.34,1509.94,769.3,153.26,320.62,148.41,147.21,99.63,111.65,137.06,136.07
2005-01-31,1216.29,1384.37,1521.97,768.3,151.14,317.25,150.0,148.91,100.61,112.2,138.84,137.51
2005-02-28,1209.11,1373.07,1512.9,779.6,151.46,317.85,149.74,148.21,101.18,111.95,138.43,139.58
2005-03-31,1202.9,1368.6,1492.85,756.93,149.39,314.01,149.96,148.95,102.66,112.92,138.98,137.47
2005-04-29,1219.18,1392.66,1512.21,749.55,151.64,318.11,151.48,150.95,103.56,113.47,141.06,137.02
2005-05-31,1232.37,1409.67,1533.0,762.86,148.58,313.85,152.8,152.5,104.12,113.71,142.67,137.17
2005-06-30,1239.09,1418.31,1545.57,777.83,147.3,312.45,154.39,154.13,105.84,114.32,144.35,140.77
2005-07-29,1227.82,1399.08,1530.31,791.43,145.92,309.94,154.09,153.5,109.25,113.82,143.37,143.19
2005-08-31,1243.55,1421.3,1553.73,792.94,148.44,315.04,155.42,154.93,110.68,113.54,145.0,144.37
2005-09-30,1230.74,1402.44,1528.65,785.03,145.65,310.03,155.29,154.79,111.56,113.12,144.9,144.65
2005-10-31,1221.0,1391.47,1511.0,779.55,143.02,305.41,153.78,153.21,112.05,113.01,143.71,144.97
2005-11-30,1226.4,1398.22,1519.88,783.62,141.44,303.25,153.66,153.09,111.38,113.96,143.75,144.41
2005-12-30,1238.06,1412.71,1535.25,790.35,143.06,306.24,154.29,154.3,112.14,113.92,144.87,145.2
2006-01-31,1238.13,1408.5,1532.02,802.96,145.2,310.1,153.69,153.37,113.86,114.15,144.44,148.42
2006-02-28,1242.24,1410.55,1538.94,808.32,144.51,309.0,153.79,153.58,114.4,113.61,144.71,148.75
2006-03-31,1230.05,1395.33,1517.25,813.16,142.87,305.94,152.16,151.62,114.86,113.11,142.3,149.55
2006-04-28,1227.82,1389.58,1511.94,818.17,146.28,311.73,151.64,150.61,114.84,112.53,141.46,150.93
2006-05-31,1226.51,1390.04,1509.39,818.06,148.74,315.75,152.15,151.08,115.1,112.63,142.15,151.5
2006-06-30,1229.11,1394.47,1511.29,815.19,147.04,313.24,151.42,150.58,114.84,112.5,141.37,151.21
2006-07-31,1245.73,1411.74,1533.37,823.17,148.26,316.36,152.99,152.17,115.22,112.72,143.19,153.38
2006-08-31,1264.8,1432.46,1561.94,836.52,149.59,320.02,154.46,153.83,115.95,114.86,144.99,155.72
2006-09-29,1275.91,1445.76,1579.83,848.38,149.26,320.0,155.02,154.61,117.73,115.17,145.52,156.7
2006-10-31,1284.35,1453.1,1592.61,859.92,150.74,323.09,155.52,155.04,118.54,115.12,146.42,159.36
2006-11-30,1299.25,1468.28,1615.96,874.37,154.86,330.96,156.44,155.85,119.27,115.6,147.05,160.95
2006-12-29,1291.71,1456.21,1601.26,883.97,152.27,326.57,155.12,154.26,119.74,116.2,145.6,162.13
2007-01-31,1291.18,1453.89,1601.38,893.84,150.2,323.36,155.07,153.73,120.46,116.53,145.19,163.82
2007-02-28,1311.09,1478.0,1634.36,906.34,153.56,330.02,156.62,155.25,121.27,116.72,146.4,164.59
2007-03-30,1311.13,1477.28,1624.99,907.3,154.01,330.8,156.23,154.67,121.02,116.94,145.62,164.51
2007-04-30,1318.2,1484.89,1636.91,919.09,155.62,334.54,156.16,154.53,121.21,117.5,145.43,165.73
2007-05-31,1308.2,1471.56,1620.55,925.96,152.64,329.32,154.97,153.0,121.12,117.31,144.07,167.06
2007-06-29,1304.34,1470.92,1612.62,909.33,151.75,327.86,154.36,152.21,120.43,117.16,143.43,165.36
2007-07-31,1315.22,1495.31,1616.35,877.13,156.07,334.52,154.96,153.96,121.4,117.18,145.15,159.75
2007-08-31,1331.34,1518.75,1629.43,889.09,158.45,338.64,155.5,155.24,122.27,117.43,146.25,159.37
2007-09-28,1341.44,1526.94,1641.98,912.36,162.31,346.24,155.29,155.23,122.84,117.88,145.72,162.26
2007-10-31,1353.49,1538.95,1661.7,917.83,164.97,351.88,156.56,156.36,123.6,118.8,146.91,163.43
2007-11-30,1377.83,1586.18,1671.65,897.92,169.24,358.6,155.9,157.03,124.31,118.51,147.04,158.01
2007-12-31,1381.7,1587.45,1674.29,900.54,168.37,357.53,155.15,156.49,126.79,118.71,146.35,157.29
2008-01-31,1404.91,1627.75,1691.33,888.52,174.46,367.47,157.32,159.96,129.58,118.8,148.76,150.55
