Start Date,Strategy Code,Strategy Name,Sharpe 1/N,Sharpe ERC,Sharpe MinVar
2000-07-05,1,ERC,-0.1861,-0.0032,-0.0799
2000-08-01,0,1/N,0.3504,-0.355,0.3437
2000-09-01,2,MinVar,-2.4499,-4.2615,-0.3411
2000-10-02,1,ERC,-1.3161,3.46,0.2326
2000-11-01,1,ERC,0.0574,4.7099,0.7713
2000-12-01,1,ERC,-0.696,3.3938,1.4286
2001-01-04,2,MinVar,-3.1737,-0.9098,-0.9
2001-02-01,2,MinVar,-2.3802,-4.3209,-0.3718
2001-03-01,2,MinVar,-0.3588,-1.4045,0.0846
2001-04-02,0,1/N,1.2741,1.2406,0.0071
2001-05-01,2,MinVar,-2.386,-2.386,1.3419
2001-06-01,1,ERC,-1.9013,0.8659,-0.0414
2001-07-02,2,MinVar,-2.5281,-2.3588,0.1949
2001-08-01,1,ERC,-2.592,2.4452,0.0185
2001-09-04,2,MinVar,-1.6551,-1.6551,0.4753
2001-10-01,1,ERC,1.2882,4.9026,0.4623
2001-11-01,0,1/N,0.2391,0.2391,-0.3796
2001-12-03,2,MinVar,0.2636,0.2636,0.3591
2002-01-04,0,1/N,1.3168,-0.4036,1.2249
2002-02-01,0,1/N,3.4292,3.4292,-0.3236
2002-03-01,1,ERC,2.7131,7.7073,0.2414
2002-04-02,2,MinVar,-0.723,-0.2044,0.5651
2002-05-01,2,MinVar,-1.0025,-1.2123,0.5003
2002-06-05,2,MinVar,0.1065,1.5357,1.9027
2002-07-01,2,MinVar,0.3069,-0.8666,0.3859
2002-08-01,2,MinVar,1.313,1.4348,1.6469
2002-09-03,2,MinVar,0.7307,0.7307,1.3206
2002-10-01,1,ERC,2.3787,4.2356,0.582
2002-11-01,1,ERC,4.1104,9.159,0.7935
2002-12-02,0,1/N,3.3503,1.4255,0.1893
2003-01-06,2,MinVar,-2.2106,-0.4849,1.1333
2003-02-03,2,MinVar,-1.6615,0.7205,1.5604
2003-03-03,1,ERC,1.1787,3.3297,0.4706
2003-04-01,1,ERC,3.6775,4.7277,-0.9053
2003-05-01,1,ERC,3.3927,3.6655,0.3628
2003-06-02,1,ERC,2.2148,3.1394,1.0092
2003-07-01,0,1/N,2.7385,2.426,0.2496
2003-08-01,1,ERC,4.0524,5.8437,0.6049
2003-09-02,0,1/N,3.5167,2.1423,2.5315
2003-10-01,1,ERC,4.6433,6.4979,1.7125
2003-11-04,1,ERC,4.372,5.2761,2.0764
2003-12-01,1,ERC,5.2679,7.1394,1.3228
2004-01-05,0,1/N,3.6593,3.6479,1.2071
2004-02-02,0,1/N,1.4128,0.942,-0.4787
2004-03-01,2,MinVar,-0.3031,-1.4304,-0.2717
2004-04-01,2,MinVar,-1.4822,-2.2651,-0.3618
2004-05-06,0,1/N,0.6065,0.0925,-0.2079
2004-06-01,1,ERC,0.4495,2.0745,0.6306
2004-07-01,1,ERC,3.472,6.435,0.8738
2004-08-02,1,ERC,3.9822,7.4655,1.3832
2004-09-01,0,1/N,4.0213,4.0213,-0.8043
2004-10-01,1,ERC,1.5428,3.0699,1.1461
2004-11-01,1,ERC,1.703,5.7859,1.1526
2004-12-01,1,ERC,2.5322,3.3171,1.0504
2005-01-04,0,1/N,3.1942,1.2217,1.3683
2005-02-01,1,ERC,0.7412,1.4479,0.6996
2005-03-01,1,ERC,-0.2267,1.1379,1.0432
2005-04-01,0,1/N,1.1042,1.1042,1.0239
2005-05-06,1,ERC,4.5284,5.3931,-0.2401
2005-06-01,1,ERC,3.6511,4.3532,1.2815
2005-07-01,1,ERC,4.4402,5.6779,-0.1399
2005-08-01,1,ERC,0.4247,0.5781,-1.4567
2005-09-01,2,MinVar,0.6688,-0.2438,0.7158
2005-10-03,0,1/N,2.7886,2.7538,0.6772
2005-11-01,1,ERC,8.7745,8.9021,2.2309
2005-12-01,1,ERC,4.2665,4.9722,-0.3788
2006-01-04,0,1/N,2.7583,1.2497,0.4132
2006-02-01,0,1/N,2.4711,1.7165,0.0962
2006-03-01,0,1/N,1.5763,0.5879,-0.3634
2006-04-03,2,MinVar,-0.1933,-1.3048,-0.1518
2006-05-02,2,MinVar,-1.3146,-1.8927,-0.7228
2006-06-01,1,ERC,0.2307,5.5754,1.8039
2006-07-03,1,ERC,-0.3988,4.021,0.5277
2006-08-01,1,ERC,0.5604,6.3756,0.8425
2006-09-01,1,ERC,3.5515,8.1393,0.9513
2006-10-02,1,ERC,4.2206,7.12,1.0557
2006-11-01,0,1/N,1.8774,1.8774,0.1555
2006-12-01,1,ERC,0.8598,0.9633,0.7122
2007-01-04,0,1/N,2.1144,2.1144,0.1416
2007-02-01,0,1/N,1.874,1.817,1.3683
2007-03-01,1,ERC,1.354,3.5796,-0.59
2007-04-02,1,ERC,0.6646,0.9467,0.0443
2007-05-01,0,1/N,1.4732,0.3691,0.0518
2007-06-01,0,1/N,-0.2733,-1.3196,-0.2786
2007-07-02,0,1/N,2.9907,1.4934,0.9196
2007-08-01,1,ERC,4.7325,4.7703,2.8435
2007-09-04,1,ERC,3.4774,4.1203,1.6433
2007-10-01,0,1/N,2.5769,2.082,1.1493
2007-11-01,0,1/N,1.2007,1.2007,0.5272
2007-12-03,0,1/N,4.3291,0.3857,0.1718
2008-01-02,0,1/N,0.3781,-1.5297,-0.0333
2008-02-01,0,1/N,1.5739,1.0801,-0.3151
2008-03-03,1,ERC,0.3373,0.475,-1.0021
2008-04-01,0,1/N,2.1752,-1.6508,0.7668
2008-05-01,0,1/N,-0.114,-1.5035,-0.1865
2008-06-02,2,MinVar,-2.3721,-0.382,-0.0808
2008-07-01,2,MinVar,-5.1375,-3.7668,-0.2645
2008-08-01,2,MinVar,-5.4059,-5.8981,-0.1983
2008-09-02,2,MinVar,-4.2595,-4.648,0.4397
2008-10-01,2,MinVar,-2.6809,-0.5382,0.2719
2008-11-04,2,MinVar,-1.0413,-1.4497,-0.496
2008-12-01,0,1/N,0.4689,0.0478,0.0278
2009-01-02,1,ERC,-0.3015,0.2495,0.2487
2009-02-02,2,MinVar,1.975,2.0053,2.4462
2009-03-02,0,1/N,6.1936,4.1763,1.2475
2009-04-01,1,ERC,4.1909,6.5676,0.4342
2009-05-01,0,1/N,3.8306,0.4081,0.5501
2009-06-01,1,ERC,2.1336,8.7851,0.0938
2009-07-01,1,ERC,3.983,7.5719,1.1702
2009-08-03,1,ERC,2.3383,5.7167,1.2227
2009-09-01,1,ERC,3.7431,4.727,1.3294
2009-10-01,1,ERC,2.5915,5.6233,1.3661
2009-11-02,1,ERC,0.7794,2.2297,1.4528
2009-12-01,1,ERC,-0.6437,0.7735,0.1773
2010-01-04,2,MinVar,-0.8964,0.1734,0.6977
2010-02-01,1,ERC,1.5011,7.6507,0.2029
2010-03-01,1,ERC,-0.9397,0.5108,0.0192
2010-04-01,2,MinVar,-0.8985,-0.7425,0.3443
2010-05-06,1,ERC,2.2033,3.0146,1.8501
2010-06-01,1,ERC,3.338,4.602,2.1174
2010-07-01,0,1/N,7.8169,7.8169,2.5164
2010-08-02,1,ERC,5.9943,7.1287,0.8865
2010-09-01,0,1/N,3.6026,2.4973,-1.3431
2010-10-01,0,1/N,3.5826,1.99,1.2428
2010-11-01,0,1/N,2.1268,0.6595,-0.1692
2010-12-01,0,1/N,4.9844,4.9844,0.3767
2011-01-04,1,ERC,2.5624,3.6811,-0.1894
2011-02-01,0,1/N,4.2987,4.1586,0.9297
2011-03-01,1,ERC,0.4653,2.3289,0.7731
2011-04-01,1,ERC,-0.4596,3.1966,1.382
2011-05-02,1,ERC,-0.3186,3.2548,1.5747
2011-06-01,1,ERC,0.1949,0.5512,0.2638
2011-07-01,2,MinVar,-2.1944,-3.1636,-0.3451
2011-08-01,2,MinVar,-1.1239,1.1855,1.5615
2011-09-01,2,MinVar,-1.4613,-0.85,-0.1086
2011-10-03,1,ERC,1.4188,3.1511,0.8213
2011-11-01,1,ERC,0.9788,2.4072,1.7649
2011-12-01,1,ERC,3.9421,6.2343,1.9809
2012-01-03,1,ERC,2.8599,6.7702,0.7021
2012-02-01,1,ERC,0.2743,1.7923,1.0398
2012-03-01,2,MinVar,-5.8996,-4.8724,-0.0982
2012-04-02,2,MinVar,-2.9293,-0.8275,0.5814
2012-05-01,1,ERC,-0.1565,1.1897,0.3022
2012-06-01,0,1/N,4.1353,2.5723,2.4269
2012-07-02,1,ERC,3.5886,4.8372,2.4021
2012-08-01,1,ERC,1.4807,4.7381,0.5818
2012-09-04,1,ERC,0.7649,5.6154,1.2855
2012-10-01,1,ERC,-0.6183,3.7305,0.1452
2012-11-01,1,ERC,2.0809,5.4802,0.0386
2012-12-03,1,ERC,-0.1828,4.8631,0.4085
2013-01-02,1,ERC,-0.2657,3.6649,0.3049
2013-02-01,1,ERC,-1.4122,3.0857,0.2827
2013-03-01,1,ERC,-1.6089,0.7796,-1.1635
2013-04-02,2,MinVar,-2.6391,-2.9264,-1.1713
2013-05-01,2,MinVar,-1.827,-2.4254,-0.8789
2013-06-03,0,1/N,-0.5436,-1.0559,-1.0444
2013-07-01,1,ERC,1.4926,2.7157,1.4439
2013-08-01,1,ERC,1.6291,3.7266,-0.2551
2013-09-03,1,ERC,-0.2984,3.4522,-0.2073
2013-10-01,2,MinVar,-0.0942,-0.0942,0.1052
2013-11-01,2,MinVar,-1.7549,0.0017,0.1598
2013-12-02,1,ERC,2.6206,4.6109,0.5253
2014-01-02,1,ERC,2.9425,6.9624,2.489
2014-02-03,1,ERC,4.148,5.5901,1.804
2014-03-03,1,ERC,0.5138,3.7986,-0.1899
2014-04-01,1,ERC,2.3662,8.4465,0.241
2014-05-01,1,ERC,-0.5892,2.5641,0.1224
2014-06-02,1,ERC,-0.8863,3.2493,0.9503
2014-07-01,2,MinVar,-6.7146,-3.9711,-0.3571
2014-08-01,2,MinVar,-3.367,-0.0856,1.1937
2014-09-02,2,MinVar,-3.8052,-3.6236,-0.7027
2014-10-01,1,ERC,-2.7669,1.7107,0.2825
2014-11-03,2,MinVar,-1.8626,-0.2014,0.2485
2014-12-01,1,ERC,-0.7536,2.1546,-0.1256
2015-01-02,2,MinVar,0.3364,0.3364,0.7009
2015-02-02,1,ERC,1.4355,1.5474,-0.3635
2015-03-02,0,1/N,0.5361,0.2535,-0.3492
2015-04-01,2,MinVar,0.1948,-1.5441,0.9934
2015-05-01,2,MinVar,-3.7877,-4.9818,-0.9211
2015-06-01,2,MinVar,-3.6519,-3.8654,-1.2495
2015-07-01,2,MinVar,-3.3311,-4.093,-0.0037
2015-08-03,0,1/N,0.6143,-0.0233,-0.3742
2015-09-01,1,ERC,1.0045,1.483,0.9971
2015-10-01,2,MinVar,-0.983,-1.0524,1.3864
2015-11-02,2,MinVar,-4.2317,-3.1751,0.7698
2015-12-01,2,MinVar,-2.0925,-2.0925,-0.0556
2016-01-04,1,ERC,1.5802,2.1653,1.5003
2016-02-01,0,1/N,5.1662,4.628,0.9896
2016-03-01,0,1/N,4.3081,4.3081,1.1342
2016-04-01,0,1/N,3.6239,3.4847,1.1359
2016-05-03,1,ERC,1.5631,2.813,-0.0222
2016-06-01,1,ERC,1.1616,2.2847,0.4726
2016-07-01,2,MinVar,0.8225,0.8225,0.9974
2016-08-01,0,1/N,1.0254,0.1385,-0.6704
2016-09-01,2,MinVar,-0.3958,-1.898,-0.0338
2016-10-03,2,MinVar,-1.1749,-2.2095,-0.8824
2016-11-01,0,1/N,1.1035,0.8807,-0.5814
2016-12-01,0,1/N,4.4603,2.3059,0.8858
2017-01-03,0,1/N,1.5656,1.309,-0.4121
2017-02-01,1,ERC,-0.0839,4.0528,0.9363
2017-03-01,1,ERC,-0.6602,4.3604,-1.0623
2017-04-03,1,ERC,-0.8523,3.835,-0.2387
2017-05-01,1,ERC,1.2546,2.6172,-0.0695
2017-06-01,1,ERC,1.011,2.1871,1.0427
2017-07-03,0,1/N,2.4444,2.4444,0.3611
2017-08-01,0,1/N,2.2095,1.7904,0.6507
2017-09-01,1,ERC,2.9871,3.8514,0.4755
2017-10-02,1,ERC,3.7472,4.3415,1.53
2017-11-01,0,1/N,3.3817,3.0912,-0.0413
2017-12-01,0,1/N,0.7628,-0.5701,0.0972
2018-01-02,2,MinVar,-0.579,-0.579,0.2041
2018-02-01,1,ERC,-1.1217,0.4578,-0.7148
2018-03-01,0,1/N,1.3154,0.5101,0.2072
2018-04-02,2,MinVar,-0.0909,-0.4964,1.0086
2018-05-01,2,MinVar,-1.1274,-0.7833,0.0807
2018-06-01,2,MinVar,-1.8265,-1.3087,-0.066
2018-07-02,2,MinVar,0.0258,0.0258,0.872
2018-08-01,2,MinVar,-1.1984,-1.1984,0.1476
2018-09-04,1,ERC,-1.9515,1.08,0.5263
2018-10-01,1,ERC,-3.9501,-0.5823,-0.6273
2018-11-01,1,ERC,0.3618,3.6468,1.8398
2018-12-03,1,ERC,1.973,5.5527,0.4635
2019-01-02,1,ERC,5.6035,5.7417,1.4922
