Start Date,Strategy Code,Strategy Name,Sharpe 1/N,Sharpe ERC,Sharpe MinVar
2000-12-29,1,ERC,-1.3836,1.1999,0.7145
2001-01-02,2,MinVar,-1.9125,-1.5625,-0.0864
2001-02-01,2,MinVar,-1.1978,-3.9772,-0.1878
2001-03-01,0,1/N,0.3849,-1.2187,0.1158
2001-04-02,1,ERC,1.6173,1.8874,-0.4824
2001-05-01,2,MinVar,-1.444,-0.2904,0.5422
2001-06-01,2,MinVar,-2.4512,-1.5808,-0.1498
2001-07-02,2,MinVar,-2.3888,-0.2159,0.2476
2001-08-01,2,MinVar,-2.5149,-2.3453,0.775
2001-09-04,2,MinVar,-0.9716,-2.1258,0.6763
2001-10-01,0,1/N,2.0628,-0.3935,0.6676
2001-11-01,0,1/N,0.5832,0.2305,0.495
2001-12-03,0,1/N,-0.0584,-0.2699,-0.1536
2002-01-02,1,ERC,1.0262,1.5014,1.3221
2002-02-01,1,ERC,1.0541,1.6543,-0.3364
2002-03-01,1,ERC,0.2274,6.5925,0.7364
2002-04-02,1,ERC,-2.4148,3.6109,-0.3494
2002-05-01,2,MinVar,-2.3391,-2.3391,0.3831
2002-06-05,2,MinVar,-1.3275,-1.3275,0.7152
2002-07-01,1,ERC,-1.3315,0.7883,0.1066
2002-08-01,2,MinVar,0.5511,0.5511,1.5836
2002-09-03,1,ERC,1.1915,1.6119,0.5507
2002-10-01,1,ERC,1.3794,2.0436,0.0341
2002-11-01,1,ERC,1.0728,1.8375,0.1932
2002-12-02,1,ERC,0.1399,3.5157,0.4925
2003-01-02,2,MinVar,-1.9298,-1.7575,0.7361
2003-02-03,1,ERC,0.2901,1.7977,0.5923
2003-03-03,1,ERC,3.122,5.1381,-0.0012
2003-04-01,1,ERC,3.763,5.4666,-0.6034
2003-05-01,0,1/N,2.6752,2.408,-0.0758
2003-06-02,0,1/N,1.2888,1.0848,0.8049
2003-07-01,1,ERC,0.8287,1.4742,0.6021
2003-08-01,1,ERC,2.7834,4.256,0.004
2003-09-02,1,ERC,2.3984,5.3148,1.4225
2003-10-01,0,1/N,4.8613,4.3706,0.5289
2003-11-03,1,ERC,4.5642,5.0476,1.7518
2003-12-01,1,ERC,4.7362,5.9856,1.8506
2004-01-05,1,ERC,2.4485,3.1753,1.4774
2004-02-02,0,1/N,0.7291,0.5909,-0.6779
2004-03-01,2,MinVar,-0.4746,-1.0917,-0.1614
2004-04-01,2,MinVar,-0.4483,-0.83,-0.3164
2004-05-04,0,1/N,0.3902,-0.0146,-0.0901
2004-06-01,1,ERC,0.2574,1.7693,0.2764
2004-07-01,0,1/N,2.6258,1.9381,1.2093
2004-08-02,0,1/N,3.0658,1.5443,1.6578
2004-09-01,1,ERC,3.7046,5.0637,-0.7328
2004-10-01,1,ERC,1.9012,3.9088,0.7356
2004-11-01,1,ERC,1.2175,1.8909,0.7543
2004-12-01,0,1/N,1.5281,0.1963,0.2479
2005-01-04,0,1/N,2.6538,1.6735,0.5709
2005-02-01,2,MinVar,0.0927,-2.0463,0.5175
