Start Date,Strategy Code,Strategy Name,Sharpe 1/N,Sharpe ERC,Sharpe MinVar
2001-10-09,0,1/N,1.9434,0.3992,0.8075
2001-11-01,0,1/N,0.8666,0.8666,0.7879
2001-12-03,1,ERC,0.0145,1.0907,0.1111
2002-01-02,1,ERC,1.0188,1.413,1.3819
2002-02-01,1,ERC,0.4408,3.2078,-0.3717
2002-03-01,1,ERC,-0.4156,2.2269,0.6757
2002-04-01,1,ERC,-2.7739,1.2583,-0.1088
2002-05-01,1,ERC,-2.4765,1.9569,0.3003
2002-06-03,2,MinVar,-1.4377,0.794,1.3756
2002-07-01,1,ERC,-1.9059,0.4642,-0.5946
2002-08-01,2,MinVar,-0.0914,-0.0914,1.239
2002-09-03,1,ERC,0.6563,1.3874,0.5281
2002-10-01,1,ERC,0.7665,1.911,0.15
2002-11-01,1,ERC,0.0284,2.4982,-0.0222
2002-12-02,1,ERC,-1.0525,2.4242,1.4699
2003-01-02,2,MinVar,-0.8674,-1.0438,0.4307
2003-02-03,0,1/N,1.8031,1.235,1.0297
2003-03-03,1,ERC,3.4395,3.4772,2.9418
2003-04-01,1,ERC,3.8632,6.971,2.3592
2003-05-01,1,ERC,2.347,2.7627,1.5435
2003-06-02,2,MinVar,1.3539,1.4176,1.6423
2003-07-01,1,ERC,0.9577,1.1107,0.5205
2003-08-01,1,ERC,2.91,4.4733,0.66
2003-09-02,1,ERC,1.9138,5.4513,1.3753
2003-10-01,1,ERC,4.7748,7.8139,0.6646
2003-11-03,1,ERC,4.2237,6.0229,2.2448
2003-12-01,1,ERC,4.6091,6.2557,3.0277
2004-01-05,1,ERC,1.17,2.6823,1.7818
2004-02-02,1,ERC,-0.5255,-0.3015,-0.5856
2004-03-01,2,MinVar,-1.0099,-1.4076,-0.1555
2004-04-01,0,1/N,0.0149,-0.543,-0.4431
2004-05-03,0,1/N,0.3568,0.2397,-0.4469
2004-06-01,1,ERC,0.7978,3.5204,0.2758
2004-07-01,0,1/N,1.2658,-0.5899,0.2466
2004-08-02,2,MinVar,2.2983,0.5549,2.621
2004-09-01,1,ERC,3.2896,4.6343,-0.2834
2004-10-01,1,ERC,3.273,4.567,0.6481
2004-11-01,1,ERC,1.8914,3.383,0.9324
2004-12-01,1,ERC,1.7011,2.2071,0.5218
2005-01-03,0,1/N,0.6399,-1.3709,0.2203
2005-02-01,2,MinVar,-0.1156,-0.1889,0.4904
