Date,XBTUSD_BGN,XETUSD_BGN,XRPUSD_BGN,XBNUSD_BGN,XLCUSD_BGN,XEOUSD_BGN,XMRUSD_BGN
2018-05-02,9175.76,681.52,0.85,1451.05,150.85,18.84,249.81
2018-05-03,9652.04,754.42,0.87,1499.4,161.18,18.1,249.26
2018-05-04,9683.54,785.06,0.9,1515.49,165.92,17.16,242.6
2018-05-07,9437.62,760.22,0.84,1668.32,166.4,18.14,233.21
2018-05-08,9160.97,739.5,0.81,1566.63,157.4,18.04,223.5
2018-05-09,9248.19,743.99,0.8,1633.93,157.16,17.62,226.26
2018-05-10,9092.67,737.19,0.77,1553.48,151.18,17.71,219.85
2018-05-11,8432.01,673.65,0.68,1350.0,135.12,14.69,198.66
2018-05-14,8811.66,736.46,0.74,1449.28,151.03,14.26,212.4
2018-05-15,8518.75,712.23,0.7,1347.35,140.34,13.14,204.44
2018-05-16,8291.22,694.83,0.68,1262.42,138.06,12.21,197.43
2018-05-17,8204.05,686.73,0.67,1226.83,134.7,12.77,196.6
2018-05-18,8229.58,687.29,0.68,1203.85,137.03,12.83,197.51
2018-05-21,8406.89,697.82,0.68,1239.4,135.07,13.4,195.99
2018-05-22,8108.52,654.33,0.66,1146.38,129.61,12.59,178.12
2018-05-23,7590.0,586.5,0.6,1027.53,120.62,10.83,172.29
2018-05-24,7552.45,590.75,0.63,1052.94,123.01,12.17,170.58
2018-05-25,7448.08,583.19,0.61,1013.44,118.25,12.13,164.02
2018-05-28,7214.8,524.19,0.57,919.91,113.28,12.11,155.64
2018-05-29,7501.54,568.82,0.61,1001.89,120.49,12.2,158.98
2018-05-30,7337.26,548.56,0.59,968.02,117.07,11.81,152.86
2018-05-31,7538.28,580.23,0.61,998.15,119.11,12.4,157.45
2018-06-01,7437.74,565.72,0.61,987.05,118.49,12.09,156.41
2018-06-04,7525.77,596.89,0.66,1117.52,119.77,13.72,161.21
2018-06-05,7629.53,608.02,0.68,1154.07,121.07,14.18,167.26
2018-06-06,7619.32,604.41,0.67,1131.58,120.41,13.7,165.43
2018-06-07,7660.06,602.22,0.67,1136.05,120.42,14.2,163.93
2018-06-08,7646.28,598.73,0.68,1120.78,119.83,14.14,158.53
2018-06-11,6760.89,515.67,0.58,925.35,104.96,11.07,133.6
2018-06-12,6531.39,490.71,0.55,866.44,98.96,9.95,124.49
2018-06-13,6260.96,470.14,0.52,827.34,92.05,10.0,114.36
2018-06-14,6658.78,519.22,0.56,895.32,102.08,11.45,131.34
2018-06-15,6497.97,494.42,0.54,857.61,97.2,10.68,128.22
2018-06-18,6727.55,518.97,0.54,888.71,99.32,10.7,126.47
2018-06-19,6695.44,531.38,0.54,891.22,98.01,10.53,125.32
2018-06-20,6748.89,532.66,0.54,883.94,97.67,10.5,122.35
2018-06-21,6719.46,525.91,0.53,870.1,96.45,10.39,121.85
2018-06-22,6070.19,462.92,0.48,745.74,83.49,8.55,109.15
2018-06-25,6250.81,458.68,0.48,754.15,81.85,8.11,126.65
2018-06-26,6181.63,440.91,0.47,719.67,78.85,7.71,121.58
2018-06-27,6124.96,434.54,0.47,709.19,80.2,8.05,126.9
2018-06-28,6044.92,433.48,0.46,683.37,78.23,7.6,128.19
2018-06-29,5899.63,413.17,0.43,665.82,74.06,7.35,117.3
2018-07-02,6620.01,474.86,0.49,785.95,85.62,9.03,141.43
2018-07-03,6613.86,469.99,0.5,773.28,87.67,9.01,140.38
2018-07-04,6686.22,474.48,0.5,775.5,86.69,9.09,142.41
2018-07-05,6507.68,463.22,0.47,727.1,82.86,8.77,135.05
2018-07-06,6570.76,468.43,0.47,730.08,82.66,8.58,133.17
2018-07-09,6695.86,475.14,0.47,741.58,81.07,8.14,137.18
2018-07-10,6387.83,440.68,0.45,698.81,77.6,7.37,122.98
2018-07-11,6354.19,437.69,0.45,696.84,76.6,7.02,122.0
2018-07-12,6172.95,427.69,0.43,678.78,75.64,6.76,119.86
2018-07-13,6185.23,430.57,0.44,693.42,75.95,6.78,121.79
2018-07-16,6661.85,475.87,0.47,799.08,82.95,8.05,133.39
2018-07-17,7314.0,499.87,0.51,845.23,88.89,8.82,143.16
2018-07-18,7336.6,473.52,0.48,822.15,87.98,8.64,139.78
2018-07-19,7418.82,467.04,0.48,816.45,86.19,8.24,139.23
2018-07-20,7351.07,444.25,0.44,777.77,82.44,7.93,130.31
2018-07-23,7702.88,447.85,0.44,788.08,81.77,7.85,134.17
2018-07-24,8227.05,472.03,0.45,849.18,87.48,8.45,141.13
2018-07-25,8176.35,475.08,0.47,837.72,87.3,8.61,141.5
2018-07-26,8138.47,471.94,0.46,822.14,85.83,8.48,140.44
2018-07-27,8225.12,466.69,0.46,826.32,84.43,8.39,141.23
2018-07-30,8146.15,453.55,0.44,812.39,82.37,7.7,132.21
2018-07-31,7689.43,432.17,0.43,767.96,77.64,7.22,121.38
2018-08-01,7482.23,409.56,0.44,745.52,76.03,7.15,121.95
2018-08-02,7546.53,409.71,0.43,734.47,76.12,7.09,121.53
2018-08-03,7388.58,415.5,0.44,717.74,76.97,7.18,120.13
2018-08-06,6919.84,403.38,0.42,688.53,73.63,7.02,113.75
2018-08-07,6877.76,384.66,0.39,673.35,69.2,6.61,112.27
2018-08-08,6316.9,357.88,0.33,591.76,62.76,5.61,95.5
2018-08-09,6507.67,363.47,0.35,607.35,63.71,5.83,100.16
2018-08-10,6191.24,342.95,0.32,578.47,60.34,5.28,94.96
2018-08-13,6277.69,288.54,0.28,533.78,56.35,4.62,91.49
2018-08-14,6074.26,259.08,0.26,486.63,52.03,4.32,80.25
2018-08-15,6374.87,287.72,0.29,515.98,56.01,4.69,89.23
2018-08-16,6255.1,283.38,0.29,521.42,55.39,4.6,89.36
2018-08-17,6480.85,300.51,0.34,557.2,58.78,5.16,96.47
2018-08-20,6455.22,286.17,0.34,543.8,55.83,5.08,98.9
2018-08-21,6451.86,277.28,0.33,528.22,55.92,4.81,92.87
2018-08-22,6331.13,267.79,0.32,515.39,54.62,4.57,88.83
2018-08-23,6418.67,273.4,0.32,518.76,55.79,4.78,88.71
2018-08-24,6611.44,279.99,0.32,529.36,57.78,5.04,92.85
2018-08-27,6719.04,276.77,0.33,529.89,57.92,5.17,102.16
2018-08-28,7083.46,294.04,0.35,565.84,62.72,5.83,105.58
2018-08-29,7042.05,289.9,0.35,555.7,61.9,6.24,102.69
2018-08-30,6916.68,284.63,0.33,536.41,59.93,6.02,99.8
2018-08-31,7044.6,283.24,0.34,543.3,62.11,6.4,115.52
2018-09-03,7298.59,290.56,0.34,630.92,65.56,6.53,134.71
2018-09-04,7361.57,285.3,0.33,628.49,68.0,6.48,137.19
2018-09-05,6949.01,245.55,0.29,545.85,60.48,5.47,121.71
2018-09-06,6440.22,224.7,0.3,508.09,56.23,5.08,114.63
2018-09-07,6446.92,218.43,0.29,498.46,56.61,5.08,112.64
2018-09-10,6301.63,196.53,0.27,465.45,53.88,5.02,105.59
2018-09-11,6253.25,181.85,0.26,435.14,50.79,4.82,103.5
2018-09-12,6305.47,181.98,0.27,427.87,51.64,4.92,101.03
2018-09-13,6467.46,205.69,0.28,468.48,53.94,5.42,111.81
2018-09-14,6535.01,218.56,0.28,457.07,58.17,5.35,116.34
2018-09-17,6216.01,194.85,0.27,411.56,51.79,4.73,109.24
2018-09-18,6317.7,207.78,0.31,430.76,54.02,5.06,112.13
2018-09-19,6423.81,210.9,0.33,435.5,54.55,5.27,111.36
2018-09-20,6377.21,208.65,0.4,427.62,53.93,5.31,111.37
2018-09-21,6708.69,242.49,0.53,495.08,60.32,6.04,123.1
2018-09-24,6626.29,234.46,0.52,467.81,58.44,5.75,118.06
2018-09-25,6386.6,213.98,0.45,435.27,57.59,5.4,115.4
2018-09-26,6497.71,219.31,0.53,535.11,58.71,5.65,115.13
2018-09-27,6694.08,228.18,0.54,562.38,63.99,5.85,119.8
2018-09-28,6643.42,220.53,0.53,538.04,61.75,5.79,116.65
2018-10-01,6550.06,229.24,0.58,528.08,60.26,5.67,115.03
2018-10-02,6524.3,225.65,0.55,535.72,59.54,5.64,115.37
2018-10-03,6438.41,217.11,0.52,513.75,56.88,5.51,112.34
2018-10-04,6546.01,222.1,0.53,517.96,58.44,5.78,114.61
2018-10-05,6539.04,222.19,0.51,510.91,57.97,5.74,113.75
2018-10-08,6623.01,229.4,0.49,529.81,59.4,5.95,114.51
2018-10-09,6579.83,226.67,0.47,516.27,58.21,5.9,112.96
2018-10-10,6534.38,225.01,0.46,517.58,57.48,5.87,113.65
2018-10-11,6204.33,199.27,0.4,447.83,51.92,5.25,103.93
2018-10-12,6214.23,196.62,0.43,448.69,52.97,5.18,101.85
2018-10-15,6390.7,204.72,0.44,459.79,53.33,5.42,106.42
2018-10-16,6460.38,207.17,0.47,462.34,52.92,5.45,107.51
2018-10-17,6437.85,206.16,0.47,447.13,52.63,5.42,106.57
2018-10-18,6392.22,202.13,0.45,435.52,51.45,5.36,103.99
2018-10-19,6384.37,204.46,0.46,446.49,52.75,5.33,104.19
2018-10-22,6413.51,206.39,0.45,453.62,51.94,5.4,105.36
2018-10-23,6390.78,205.6,0.46,447.76,52.01,5.42,109.12
2018-10-24,6425.61,204.49,0.47,447.63,52.58,5.48,108.59
2018-10-25,6400.44,199.93,0.46,437.63,51.76,5.46,106.98
2018-10-26,6401.99,200.67,0.46,434.45,51.69,5.46,106.52
2018-10-29,6243.46,193.27,0.44,411.36,48.59,5.18,101.18
2018-10-30,6265.27,194.67,0.44,413.69,48.6,5.19,102.29
2018-10-31,6302.4,196.44,0.45,423.82,49.72,5.3,104.53
2018-11-01,6335.36,197.24,0.46,422.34,50.12,5.29,104.14
2018-11-02,6351.1,200.05,0.46,461.06,51.21,5.41,106.23
2018-11-05,6400.96,206.83,0.48,553.14,53.19,5.44,110.29
2018-11-06,6420.95,215.94,0.54,615.8,54.91,5.69,112.31
2018-11-07,6501.65,217.06,0.54,614.18,53.99,5.68,111.15
2018-11-08,6419.5,212.53,0.5,589.1,52.9,5.54,109.22
2018-11-09,6326.2,207.75,0.49,535.84,51.32,5.4,106.39
2018-11-12,6309.96,207.91,0.52,509.7,50.12,5.45,106.7
2018-11-13,6280.73,203.6,0.51,511.63,48.9,5.32,106.17
2018-11-14,5551.06,176.12,0.45,425.01,42.09,4.72,91.92
2018-11-15,5469.65,175.24,0.46,383.69,42.82,4.6,88.22
2018-11-16,5451.72,170.92,0.46,362.95,41.79,4.51,87.79
2018-11-19,4785.54,147.27,0.48,265.74,35.99,4.06,74.62
2018-11-20,4337.68,131.29,0.43,254.55,32.83,3.74,68.31
2018-11-21,4450.42,132.21,0.43,242.15,33.17,3.75,69.35
2018-11-22,4427.83,128.76,0.43,217.35,33.17,3.68,68.28
2018-11-23,4260.57,120.07,0.4,212.22,31.43,3.6,66.91
2018-11-26,3663.84,104.38,0.35,176.53,28.99,3.13,53.81
2018-11-27,3767.36,108.45,0.36,177.98,30.56,2.98,57.75
2018-11-28,4221.02,120.6,0.39,191.55,34.33,3.27,63.36
2018-11-29,4183.58,114.91,0.37,176.76,33.1,2.95,60.73
2018-11-30,3930.38,111.49,0.36,169.9,31.43,2.87,57.25
2018-12-03,3870.96,108.44,0.35,159.6,31.27,2.63,55.0
2018-12-04,3898.03,108.87,0.35,147.32,30.74,2.45,57.51
2018-12-05,3723.53,101.69,0.34,130.1,29.12,2.19,52.0
2018-12-06,3596.41,95.07,0.32,114.66,27.91,1.96,48.3
2018-12-07,3388.91,93.0,0.3,105.36,24.94,1.73,46.0
2018-12-10,3400.92,89.06,0.3,101.37,24.24,1.94,44.07
2018-12-11,3373.78,87.91,0.3,98.28,23.48,1.86,43.43
2018-12-12,3440.17,89.9,0.3,98.55,24.45,2.01,44.17
2018-12-13,3254.81,84.34,0.29,90.67,22.9,1.85,41.07
2018-12-14,3156.89,81.79,0.28,76.82,22.62,1.79,38.68
2018-12-17,3493.65,93.92,0.32,88.15,28.91,2.4,43.78
2018-12-18,3535.18,93.85,0.33,99.42,28.52,2.54,44.77
2018-12-19,3668.85,98.9,0.35,127.32,28.71,2.49,45.81
2018-12-20,3993.58,114.2,0.37,190.38,32.05,2.68,53.37
2018-12-21,3848.6,108.02,0.36,188.52,30.19,2.6,53.04
2018-12-24,4063.94,142.23,0.41,184.68,34.05,2.89,57.35
2018-12-25,3789.31,130.06,0.38,169.38,30.83,2.55,51.84
2018-12-26,3775.47,128.4,0.37,174.62,30.03,2.59,48.96
2018-12-27,3585.43,115.48,0.34,154.13,27.82,2.35,44.08
2018-12-28,3892.14,134.6,0.37,173.29,32.1,2.7,50.46
2018-12-31,3674.18,130.04,0.35,152.44,29.51,2.55,45.51
2019-01-01,3720.6,137.74,0.36,159.49,31.18,2.63,47.84
2019-01-02,3884.98,154.55,0.37,168.4,33.02,2.89,52.75
2019-01-03,3794.92,147.97,0.35,162.57,31.44,2.69,50.11
2019-01-04,3833.53,154.14,0.36,161.64,32.78,2.79,51.97
2019-01-07,4005.34,150.48,0.36,161.09,37.94,2.81,54.19
2019-01-08,4000.42,148.93,0.36,158.58,39.02,2.82,54.04
2019-01-09,4003.99,149.55,0.37,158.67,39.15,2.97,52.84
2019-01-10,3630.86,127.0,0.33,134.86,33.42,2.46,45.24
2019-01-11,3649.21,125.37,0.33,130.42,32.72,2.43,46.75
2019-01-14,3663.59,128.02,0.33,132.85,31.99,2.51,46.63
2019-01-15,3568.48,117.9,0.32,126.54,30.81,2.39,44.72
2019-01-16,3603.48,122.39,0.33,128.03,31.35,2.47,45.99
2019-01-17,3624.81,121.62,0.33,128.71,31.5,2.53,45.99
2019-01-18,3612.39,119.5,0.32,125.92,30.92,2.47,45.24
2019-01-21,3521.03,115.11,0.32,122.31,30.73,2.35,44.13
2019-01-22,3574.52,117.57,0.32,126.7,31.46,2.49,46.49
2019-01-23,3544.51,116.33,0.31,130.9,31.59,2.45,45.27
2019-01-24,3570.93,116.46,0.32,128.45,32.53,2.48,46.7
2019-01-25,3558.51,115.05,0.31,125.9,32.29,2.47,46.93
2019-01-28,3417.04,103.52,0.29,109.15,30.65,2.23,43.26
2019-01-29,3401.14,104.58,0.29,109.83,30.73,2.32,43.57
2019-01-30,3432.64,107.3,0.32,116.19,31.42,2.35,44.37
2019-01-31,3417.03,105.75,0.31,114.88,31.2,2.35,43.41
2019-02-01,3448.51,106.32,0.3,115.23,33.16,2.37,43.96
2019-02-04,3417.03,106.56,0.3,117.84,33.88,2.42,42.8
2019-02-05,3422.6,106.04,0.3,117.8,34.06,2.42,43.17
2019-02-06,3366.31,103.18,0.29,114.33,32.38,2.34,42.97
2019-02-07,3358.91,103.19,0.29,114.79,32.77,2.36,43.66
2019-02-08,3594.91,117.38,0.3,127.52,41.22,2.71,47.83
2019-02-11,3591.58,119.53,0.3,120.97,42.25,2.79,47.99
2019-02-12,3576.31,119.72,0.3,120.56,42.93,2.97,49.17
2019-02-13,3571.42,120.48,0.3,120.29,41.31,2.86,49.27
2019-02-14,3570.02,120.45,0.3,120.55,41.43,2.81,47.2
2019-02-15,3564.79,120.43,0.3,121.1,41.84,2.82,47.53
2019-02-18,3852.25,141.26,0.32,140.5,47.03,3.41,51.44
2019-02-19,3887.89,143.04,0.32,143.38,47.24,3.62,52.93
2019-02-20,3912.98,144.98,0.32,144.57,50.31,3.86,51.26
2019-02-21,3897.72,143.48,0.32,139.95,48.41,3.8,49.86
2019-02-22,3941.75,146.94,0.32,141.9,48.93,3.91,51.65
2019-02-25,3805.67,135.74,0.33,133.11,45.11,3.55,49.48
2019-02-26,3790.19,134.85,0.31,131.07,44.46,3.48,48.8
2019-02-27,3749.38,130.9,0.31,129.15,44.03,3.5,48.33
2019-02-28,3802.53,135.07,0.31,129.77,45.83,3.6,48.5
2019-03-01,3828.22,136.1,0.32,132.46,48.04,3.72,49.14
2019-03-04,3699.76,125.4,0.3,123.18,45.51,3.3,47.54
2019-03-05,3833.96,135.14,0.31,130.39,51.76,3.73,49.56
2019-03-06,3845.71,136.46,0.32,130.35,55.01,3.79,49.92
2019-03-07,3871.42,137.42,0.31,130.3,56.82,3.85,50.62
2019-03-08,3868.84,135.47,0.31,128.61,55.94,3.79,49.71
2019-03-11,3847.91,132.0,0.31,128.78,54.28,3.61,49.65
2019-03-12,3865.41,132.83,0.31,127.31,56.08,3.69,50.14
2019-03-13,3852.31,131.23,0.31,127.18,55.01,3.64,50.69
2019-03-14,3851.57,131.28,0.31,131.3,55.51,3.6,50.77
2019-03-15,3897.41,135.87,0.31,142.82,58.26,3.74,52.5
2019-03-18,3971.19,137.27,0.31,160.08,59.21,3.77,52.57
2019-03-19,3991.47,137.61,0.31,158.9,58.91,3.75,53.46
2019-03-20,4009.47,137.72,0.32,157.33,60.6,3.76,54.63
2019-03-21,3973.24,135.12,0.31,154.07,58.31,3.67,52.6
2019-03-22,3977.74,135.82,0.31,156.74,58.96,3.66,53.21
2019-03-25,3887.56,131.86,0.3,156.68,58.34,3.66,50.71
2019-03-26,3912.6,133.15,0.3,156.13,58.17,3.69,51.63
2019-03-27,4008.98,137.65,0.31,167.36,60.93,4.27,53.56
2019-03-28,4010.76,137.14,0.31,167.97,60.31,4.3,53.14
2019-03-29,4072.16,140.48,0.31,170.62,61.0,4.25,53.42
2019-04-01,4126.69,140.64,0.31,166.67,60.16,4.18,58.95
2019-04-02,4802.47,159.72,0.35,218.59,73.03,4.85,66.76
2019-04-03,5296.0,178.34,0.37,342.13,96.3,5.84,72.4
2019-04-04,4847.04,155.87,0.33,284.2,82.84,5.08,62.91
2019-04-05,4999.01,163.76,0.36,292.88,88.1,5.32,69.0
2019-04-08,5252.89,181.39,0.36,309.94,88.56,5.49,70.41
2019-04-09,5220.08,177.77,0.35,299.12,87.65,5.64,68.99
2019-04-10,5302.92,176.2,0.35,303.84,88.33,5.77,70.18
2019-04-11,5054.03,164.73,0.33,269.47,78.93,5.23,65.36
2019-04-12,5042.54,163.77,0.32,275.77,78.48,5.38,66.05
2019-04-15,5021.53,160.13,0.32,313.65,77.5,5.33,64.84
2019-04-16,5185.02,165.64,0.32,318.57,80.81,5.51,68.67
2019-04-17,5221.26,166.58,0.34,310.58,79.65,5.46,67.81
2019-04-18,5308.57,175.76,0.34,309.24,83.41,5.56,70.02
2019-04-19,5269.97,172.62,0.33,304.95,82.0,5.48,68.71
2019-04-22,5365.88,171.77,0.32,293.72,77.21,5.3,68.49
2019-04-23,5580.07,172.56,0.32,296.4,77.09,5.28,69.51
2019-04-24,5435.81,164.39,0.3,274.75,72.66,4.75,66.72
2019-04-25,5495.18,164.98,0.3,282.78,74.07,4.84,67.54
2019-04-26,5097.52,151.16,0.29,257.22,70.64,4.81,62.42
2019-04-29,5129.68,151.95,0.29,235.7,67.21,4.57,62.34
2019-04-30,5237.87,156.46,0.31,251.35,72.26,4.73,63.25
2019-05-01,5307.8,157.58,0.3,266.8,72.93,4.73,66.13
2019-05-02,5405.46,158.99,0.3,264.69,72.03,4.72,65.48
2019-05-03,5689.05,165.92,0.3,287.43,78.16,4.99,67.67
2019-05-06,5693.95,173.15,0.3,287.13,74.82,4.88,67.19
2019-05-07,5844.63,170.18,0.3,283.89,74.26,4.81,66.12
2019-05-08,5900.67,168.43,0.3,282.54,73.58,4.85,67.02
2019-05-09,6080.72,168.06,0.29,282.79,72.9,4.8,64.27
2019-05-10,6291.33,171.61,0.3,287.46,76.75,4.85,68.02
