Date,Daily ROR,Index Value
02/14/2019,0.0431%,1205.51
02/13/2019,0.0092%,1204.99
02/12/2019,0.7167%,1204.88
02/11/2019,-0.1221%,1196.3
02/08/2019,-0.0105%,1197.76
02/07/2019,-0.499%,1197.89
02/06/2019,-0.0223%,1203.9
02/05/2019,0.3524%,1204.17
02/04/2019,0.0461%,1199.94
02/01/2019,0.2649%,1199.38
01/31/2019,0.1697%,1196.22
01/30/2019,0.4192%,1194.19
01/29/2019,-0.0755%,1189.2
01/28/2019,-0.2455%,1190.1
01/25/2019,0.4113%,1193.03
01/24/2019,0.1494%,1188.14
01/23/2019,-0.1202%,1186.37
01/22/2019,-0.5516%,1187.8
01/18/2019,0.4903%,1194.39
01/17/2019,0.2034%,1188.56
01/16/2019,0.1978%,1186.15
01/15/2019,0.2833%,1183.81
01/14/2019,-0.5311%,1180.46
01/11/2019,-0.1102%,1186.77
01/10/2019,0.3989%,1188.08
01/09/2019,0.3771%,1183.35
01/08/2019,0.2918%,1178.91
01/07/2019,0.7899%,1175.48
01/04/2019,1.6666%,1166.27
01/03/2019,-0.7325%,1147.15
01/02/2019,0.392%,1155.61
12/31/2018,0.3461%,1151.1
12/28/2018,0.4418%,1147.13
12/27/2018,0.057%,1142.08
12/26/2018,1.3683%,1141.43
12/24/2018,-0.3893%,1126.03
12/21/2018,-0.6241%,1130.43
12/20/2018,-0.8605%,1137.53
12/19/2018,-0.4878%,1147.4
12/18/2018,0.1442%,1153.02
12/17/2018,-0.6244%,1151.36
12/14/2018,-0.6202%,1158.6
12/13/2018,-0.4958%,1165.83
12/12/2018,0.5861%,1171.64
12/11/2018,-0.0817%,1164.81
12/10/2018,-0.8165%,1165.76
12/07/2018,-0.6928%,1175.36
12/06/2018,-0.9908%,1183.56
12/04/2018,-1.4356%,1195.4
12/03/2018,0.9012%,1212.81
11/30/2018,0.1918%,1201.98
11/29/2018,-0.0317%,1199.68
11/28/2018,0.984%,1200.06
11/27/2018,-0.6393%,1188.37
11/26/2018,0.2693%,1196.01
11/23/2018,-0.0202%,1192.8
11/21/2018,0.7997%,1193.04
11/20/2018,-0.7258%,1183.58
11/19/2018,-0.5714%,1192.23
