Date,Daily ROR,Index Value
02/14/2019,0.2798%,806.79
02/13/2019,0.0231%,804.54
02/12/2019,-0.0212%,804.36
02/11/2019,-0.0465%,804.53
02/08/2019,-0.1202%,804.9
02/07/2019,0.4909%,805.87
02/06/2019,0.3494%,801.94
02/05/2019,0.2157%,799.14
02/04/2019,-0.0073%,797.42
02/01/2019,-0.4704%,797.48
01/31/2019,0.4357%,801.25
01/30/2019,-0.2796%,797.77
01/29/2019,-0.0814%,800.01
01/28/2019,0.5822%,800.66
01/25/2019,-0.3643%,796.03
01/24/2019,-0.2908%,798.94
01/23/2019,0.0344%,801.27
01/22/2019,0.7738%,800.99
01/18/2019,-0.1132%,794.84
01/17/2019,-0.1109%,795.74
01/16/2019,-0.0897%,796.63
01/15/2019,0.0198%,797.34
01/14/2019,0.4191%,797.18
01/11/2019,0.3241%,793.86
01/10/2019,-0.0968%,791.29
01/09/2019,-0.0911%,792.06
01/08/2019,1.2342%,792.78
01/07/2019,-0.1491%,783.12
01/04/2019,-1.0712%,784.29
01/03/2019,0.7662%,792.78
01/02/2019,-0.1149%,786.75
12/31/2018,0.2034%,787.65
12/28/2018,0.4736%,786.06
12/27/2018,-0.1257%,782.35
12/26/2018,-0.1873%,783.34
12/24/2018,-0.5128%,784.81
12/21/2018,-0.009%,788.85
12/20/2018,-0.6311%,788.92
12/19/2018,0.6151%,793.93
12/18/2018,-0.6888%,789.08
12/17/2018,-0.0333%,794.55
12/14/2018,-0.353%,794.81
12/13/2018,0.2942%,797.63
12/12/2018,-0.0466%,795.29
12/11/2018,0.0273%,795.66
12/10/2018,-0.5389%,795.44
12/07/2018,0.6816%,799.75
12/06/2018,-0.8514%,794.34
12/04/2018,0.4261%,801.16
12/03/2018,0.2226%,797.76
11/30/2018,-0.2493%,795.99
11/29/2018,0.561%,797.98
11/28/2018,-0.5195%,793.53
11/27/2018,0.4951%,797.67
11/26/2018,-0.2712%,793.74
11/23/2018,0.1735%,795.9
11/21/2018,-0.2034%,794.52
11/20/2018,-0.3001%,796.14
11/19/2018,0.0114%,798.54
11/16/2018,0.2617%,798.45
11/15/2018,-0.4509%,796.36
11/14/2018,-0.0211%,799.97
11/13/2018,-0.2889%,800.14
11/12/2018,0.1705%,802.46
11/09/2018,-0.0393%,801.09
11/08/2018,-0.0223%,801.41
11/07/2018,0.2424%,801.58
11/06/2018,-0.2253%,799.65
11/05/2018,0.0442%,801.45
11/02/2018,0.3692%,801.1
11/01/2018,-0.3058%,798.15
10/31/2018,0.5708%,800.6
10/30/2018,-0.4055%,796.05
10/29/2018,0.1958%,799.3
10/26/2018,-0.125%,797.73
10/25/2018,-0.4263%,798.73
10/24/2018,0.2957%,802.15
10/23/2018,0.0245%,799.79
10/22/2018,-0.2999%,799.59
10/19/2018,0.173%,802
10/18/2018,-0.2802%,800.61
10/17/2018,0.2357%,802.86
10/16/2018,-0.0111%,800.97
10/15/2018,-0.004%,801.06
10/12/2018,-0.3498%,801.09
10/11/2018,-0.2598%,803.9
10/10/2018,0.1952%,806
10/09/2018,-0.1346%,804.43
10/08/2018,-0.0275%,805.51
10/05/2018,-0.1053%,805.73
10/04/2018,0.1667%,806.58
10/03/2018,-0.0893%,805.24
10/02/2018,0.0001%,805.96
10/01/2018,0.0206%,805.96
09/28/2018,0.1378%,805.79
09/27/2018,-0.0847%,804.68
09/26/2018,0.1954%,805.37
09/25/2018,-0.126%,803.8
09/24/2018,0.0028%,804.81
09/21/2018,0.2459%,804.79
09/20/2018,-0.0444%,802.81
09/19/2018,-0.064%,803.17
09/18/2018,-0.1605%,803.69
09/17/2018,0.1504%,804.98
09/14/2018,-0.0067%,803.77
09/13/2018,0.0771%,803.82
09/12/2018,-0.1035%,803.2
09/11/2018,-0.0707%,804.03
09/10/2018,0.2038%,804.6
09/07/2018,-0.2002%,802.97
09/06/2018,-0.0223%,804.58
09/05/2018,0.2061%,804.76
09/04/2018,-0.0846%,803.1
08/31/2018,0.1336%,803.78
08/30/2018,0.002%,802.71
08/29/2018,0.071%,802.69
08/28/2018,0.0925%,802.12
08/27/2018,0.0109%,801.38
08/24/2018,-0.2531%,801.3
08/23/2018,0.2416%,803.33
08/22/2018,0.2333%,801.39
08/21/2018,-0.0643%,799.53
08/20/2018,-0.1028%,800.04
08/17/2018,-0.0466%,800.86
08/16/2018,-0.0466%,801.24
08/15/2018,0.1314%,801.61
08/14/2018,-0.0206%,800.56
08/13/2018,-0.1008%,800.72
08/10/2018,-0.1004%,801.53
08/09/2018,-0.0495%,802.34
08/08/2018,0.1473%,802.73
08/07/2018,0.0051%,801.55
08/06/2018,-0.0901%,801.51
08/03/2018,0.348%,802.24
08/02/2018,-0.248%,799.45
08/01/2018,0.0963%,801.44
07/31/2018,-0.2009%,800.67
07/30/2018,-0.1684%,802.28
07/27/2018,0.4602%,803.64
07/26/2018,-0.1109%,799.95
07/25/2018,-0.256%,800.84
07/24/2018,0.2432%,802.9
07/23/2018,-0.245%,800.95
07/20/2018,0.0998%,802.92
07/19/2018,0.2958%,802.12
07/18/2018,-0.291%,799.75
07/17/2018,-0.061%,802.09
07/16/2018,0.289%,802.57
07/13/2018,-0.0674%,800.26
07/12/2018,-0.1735%,800.8
07/11/2018,-0.0244%,802.19
07/10/2018,0.2389%,802.39
07/09/2018,0.0752%,800.48
07/06/2018,0.0124%,799.87
07/05/2018,-0.3156%,799.78
07/03/2018,0.2791%,802.31
07/02/2018,-0.1666%,800.07
06/29/2018,0.3914%,801.41
06/28/2018,-0.7421%,798.28
06/27/2018,0.5209%,804.25
06/26/2018,-0.472%,800.09
06/25/2018,0.1427%,803.88
06/22/2018,-0.0495%,802.73
06/21/2018,0.193%,803.13
06/20/2018,-0.2429%,801.58
06/19/2018,-0.0386%,803.54
06/18/2018,0.2085%,803.85
06/15/2018,-0.0345%,802.17
06/14/2018,0.123%,802.45
06/13/2018,-0.1631%,801.46
06/12/2018,0.0193%,802.77
06/11/2018,0.0531%,802.62
06/08/2018,-0.0261%,802.19
06/07/2018,0.0618%,802.4
06/06/2018,0.0542%,801.91
06/05/2018,0.0547%,801.47
06/04/2018,0.173%,801.03
06/01/2018,-0.3995%,799.65
05/31/2018,0.4997%,802.86
05/30/2018,-0.1525%,798.87
05/29/2018,-0.2906%,800.09
05/25/2018,0.0884%,802.42
05/24/2018,0.0461%,801.71
05/23/2018,-0.2258%,801.34
05/22/2018,0.3065%,803.15
05/21/2018,-0.1775%,800.7
05/18/2018,-0.0054%,802.12
05/17/2018,0.1328%,802.17
05/16/2018,0.075%,801.1
05/15/2018,-0.2703%,800.5
05/14/2018,0.1695%,802.67
05/11/2018,-0.1284%,801.31
05/10/2018,0.1281%,802.34
05/09/2018,0.1229%,801.32
05/08/2018,0.122%,800.33
05/07/2018,0.1122%,799.36
05/04/2018,-0.0777%,798.46
05/03/2018,0.0201%,799.08
05/02/2018,0.0526%,798.92
05/01/2018,-0.143%,798.5
04/30/2018,-0.0042%,799.65
04/27/2018,-0.0068%,799.68
04/26/2018,-0.1395%,799.73
04/25/2018,0.1648%,800.85
04/24/2018,-0.1097%,799.53
04/23/2018,-0.14%,800.41
04/20/2018,0.056%,801.53
04/19/2018,-0.0367%,801.08
04/18/2018,0.2063%,801.38
04/17/2018,0.0118%,799.73
04/16/2018,-0.0413%,799.63
04/13/2018,0.154%,799.97
04/12/2018,0.2193%,798.73
04/11/2018,0.1043%,796.99
04/10/2018,-0.2219%,796.16
04/09/2018,0.0852%,797.93
04/06/2018,-0.0533%,797.25
04/05/2018,0.1966%,797.67
04/04/2018,-0.055%,796.11
04/03/2018,-0.0387%,796.54
04/02/2018,-0.0143%,796.85
03/29/2018,0.0493%,796.97
03/28/2018,-0.3311%,796.57
03/27/2018,0.5397%,799.22
03/26/2018,-0.4868%,794.93
03/23/2018,0.0621%,798.82
03/22/2018,0.1828%,798.32
03/21/2018,-0.0249%,796.87
03/20/2018,-0.1645%,797.06
03/19/2018,0.0792%,798.38
03/16/2018,-0.1871%,797.75
03/15/2018,0.1563%,799.24
03/14/2018,-0.0613%,797.99
03/13/2018,0.2424%,798.48
03/12/2018,0.1684%,796.55
03/09/2018,0.0548%,795.21
03/08/2018,0.0521%,794.78
03/07/2018,-0.1592%,794.36
03/06/2018,-0.0556%,795.63
03/05/2018,0.4452%,796.07
03/02/2018,-0.381%,792.54
03/01/2018,-0.5201%,795.58
02/28/2018,0.0348%,799.74
02/27/2018,0.4536%,799.46
02/26/2018,0.2125%,795.85
