Date,Daily ROR,Index Value
02/14/2019,0.0657%,1218.33
02/13/2019,-0.0898%,1217.53
02/12/2019,0.1968%,1218.63
02/11/2019,-0.043%,1216.23
02/08/2019,-0.0187%,1216.76
02/07/2019,-0.1498%,1216.98
02/06/2019,-0.0335%,1218.81
02/05/2019,0.3065%,1219.22
02/04/2019,0.0602%,1215.49
02/01/2019,-0.032%,1214.76
01/31/2019,0.3047%,1215.15
01/30/2019,0.1249%,1211.46
01/29/2019,-0.0127%,1209.95
01/28/2019,-0.0241%,1210.1
01/25/2019,0.0815%,1210.39
01/24/2019,0.1536%,1209.41
01/23/2019,-0.0135%,1207.55
01/22/2019,-0.2342%,1207.72
01/18/2019,0.0703%,1210.55
01/17/2019,0.0089%,1209.7
01/16/2019,0.0895%,1209.59
01/15/2019,0.188%,1208.51
01/14/2019,-0.0861%,1206.24
01/11/2019,0.116%,1207.28
01/10/2019,0.2231%,1205.88
01/09/2019,0.0737%,1203.2
01/08/2019,0.1541%,1202.31
01/07/2019,0.2874%,1200.46
01/04/2019,0.4533%,1197.02
01/03/2019,-0.1316%,1191.62
01/02/2019,0.2798%,1193.19
12/31/2018,0.3075%,1189.86
12/28/2018,0.1563%,1186.21
12/27/2018,0.1848%,1184.36
12/26/2018,0.4493%,1182.18
12/24/2018,-0.3611%,1176.89
12/21/2018,-0.2629%,1181.16
12/20/2018,-0.4701%,1184.27
12/19/2018,-0.2076%,1189.86
12/18/2018,0.0288%,1192.34
12/17/2018,-0.3147%,1192
12/14/2018,-0.1185%,1195.76
12/13/2018,-0.2684%,1197.18
12/12/2018,0.1589%,1200.4
12/11/2018,-0.0395%,1198.5
12/10/2018,-0.253%,1198.97
12/07/2018,-0.3177%,1202.01
12/06/2018,-0.2618%,1205.84
12/04/2018,-0.6071%,1209.01
12/03/2018,0.2615%,1216.39
11/30/2018,0.169%,1213.22
11/29/2018,0.0674%,1211.17
11/28/2018,0.2216%,1210.35
11/27/2018,-0.1805%,1207.68
11/26/2018,-0.0016%,1209.86
11/23/2018,0.0785%,1209.88
11/21/2018,0.3453%,1208.93
11/20/2018,-0.2502%,1204.77
11/19/2018,-0.1657%,1207.79
11/16/2018,-0.1658%,1209.8
11/15/2018,0.0014%,1211.81
11/14/2018,-0.1054%,1211.79
11/13/2018,-0.1652%,1213.07
11/12/2018,-0.4923%,1215.08
11/09/2018,-0.375%,1221.09
11/08/2018,-0.1712%,1225.69
11/07/2018,0.2234%,1227.79
11/06/2018,0.0511%,1225.05
11/05/2018,-0.0296%,1224.43
11/02/2018,-0.0412%,1224.79
11/01/2018,0.3722%,1225.29
10/31/2018,0.567%,1220.75
10/30/2018,0.1982%,1213.87
10/29/2018,-0.3073%,1211.47
10/26/2018,-0.3685%,1215.2
10/25/2018,0.2849%,1219.69
10/24/2018,-0.6428%,1216.23
10/23/2018,-0.3051%,1224.1
10/22/2018,-0.1824%,1227.84
10/19/2018,-0.0681%,1230.09
10/18/2018,-0.2683%,1230.93
10/17/2018,0.0556%,1234.24
10/16/2018,0.3263%,1233.55
10/15/2018,-0.0061%,1229.54
10/12/2018,0.0185%,1229.62
10/11/2018,-0.6808%,1229.39
10/10/2018,-0.6193%,1237.82
10/09/2018,-0.2979%,1245.53
10/08/2018,-0.2636%,1249.25
10/05/2018,-0.3888%,1252.56
10/04/2018,-0.4125%,1257.44
10/03/2018,0.328%,1262.65
10/02/2018,-0.199%,1258.52
10/01/2018,0.0913%,1261.03
09/28/2018,0.0748%,1259.88
09/27/2018,-0.0403%,1258.94
09/26/2018,-0.2094%,1259.45
09/25/2018,-0.0438%,1262.09
