Date,Daily ROR,Index Value
02/14/2019,0.0296%,1202.99
02/13/2019,-0.0961%,1202.64
02/12/2019,0.1627%,1203.79
02/11/2019,-0.0245%,1201.84
02/08/2019,-0.1559%,1202.13
02/07/2019,-0.0679%,1204.01
02/06/2019,0.071%,1204.83
02/05/2019,0.1491%,1203.97
02/04/2019,0.1191%,1202.18
02/01/2019,0.0645%,1200.75
01/31/2019,0.2909%,1199.98
01/30/2019,0.0068%,1196.5
01/29/2019,0.0045%,1196.42
01/28/2019,0.0698%,1196.36
01/25/2019,0.0593%,1195.53
01/24/2019,0.003%,1194.82
01/23/2019,-0.0376%,1194.78
01/22/2019,-0.0661%,1195.23
01/18/2019,0.1606%,1196.02
01/17/2019,0.0899%,1194.11
01/16/2019,0.2008%,1193.03
01/15/2019,0.1233%,1190.64
01/14/2019,0.0909%,1189.18
01/11/2019,0.2042%,1188.1
01/10/2019,0.058%,1185.68
01/09/2019,0.2081%,1184.99
01/08/2019,0.4415%,1182.53
01/07/2019,0.248%,1177.33
01/04/2019,0.2179%,1174.42
01/03/2019,0.0909%,1171.86
01/02/2019,-0.0125%,1170.8
12/31/2018,-0.1048%,1170.95
12/28/2018,0.0867%,1172.17
12/27/2018,0.1224%,1171.16
12/26/2018,0.0962%,1169.73
12/24/2018,-0.2531%,1168.6
12/21/2018,-0.3418%,1171.57
12/20/2018,-0.5246%,1175.59
12/19/2018,0.0042%,1181.79
12/18/2018,-0.3823%,1181.74
12/17/2018,-0.1762%,1186.27
12/14/2018,-0.281%,1188.37
12/13/2018,0.0585%,1191.72
12/12/2018,0.1432%,1191.02
12/11/2018,0.1125%,1189.32
12/10/2018,-0.2578%,1187.98
12/07/2018,-0.0567%,1191.05
12/06/2018,-0.4802%,1191.73
12/04/2018,0.0438%,1197.48
12/03/2018,0.1564%,1196.95
11/30/2018,0.1052%,1195.08
11/29/2018,0.2079%,1193.83
11/28/2018,-0.0588%,1191.35
11/27/2018,0.0051%,1192.05
11/26/2018,-0.1319%,1191.99
11/23/2018,-0.2153%,1193.57
11/21/2018,0.248%,1196.14
11/20/2018,-0.5458%,1193.18
11/19/2018,0.0407%,1199.73
11/16/2018,0.0297%,1199.24
11/15/2018,-0.1531%,1198.89
11/14/2018,-0.0711%,1200.72
11/13/2018,-0.0857%,1201.58
11/12/2018,-0.0272%,1202.61
11/09/2018,-0.1896%,1202.94
11/08/2018,0.0335%,1205.22
11/07/2018,0.0935%,1204.82
11/06/2018,-0.1272%,1203.69
11/05/2018,0.1337%,1205.23
11/02/2018,0.1269%,1203.62
11/01/2018,-0.0732%,1202.09
10/31/2018,0.347%,1202.97
10/30/2018,-0.1743%,1198.81
10/29/2018,0.022%,1200.91
10/26/2018,-0.1256%,1200.64
10/25/2018,-0.3051%,1202.15
10/24/2018,-0.0393%,1205.83
10/23/2018,-0.1715%,1206.31
10/22/2018,-0.1716%,1208.38
10/19/2018,0.0197%,1210.46
10/18/2018,-0.0572%,1210.22
10/17/2018,0.1738%,1210.91
10/16/2018,0.024%,1208.81
10/15/2018,0.0193%,1208.52
10/12/2018,-0.0643%,1208.28
10/11/2018,-0.2537%,1209.06
10/10/2018,0.0091%,1212.14
10/09/2018,-0.0324%,1212.03
10/08/2018,-0.1082%,1212.42
10/05/2018,-0.054%,1213.73
10/04/2018,-0.0687%,1214.39
10/03/2018,0.0037%,1215.22
10/02/2018,0.0018%,1215.18
10/01/2018,-0.0404%,1215.16
09/28/2018,0.0092%,1215.65
09/27/2018,-0.0169%,1215.54
09/26/2018,-0.0296%,1215.74
09/25/2018,0.0311%,1216.1
09/24/2018,-0.0651%,1215.72
09/21/2018,0.0674%,1216.52
09/20/2018,0.1005%,1215.7
09/19/2018,0.0515%,1214.48
09/18/2018,0.0374%,1213.85
09/17/2018,0.0099%,1213.4
09/14/2018,-0.0075%,1213.28
09/13/2018,0.0298%,1213.37
09/12/2018,-0.0169%,1213.01
09/11/2018,0.1559%,1213.21
09/10/2018,-0.0144%,1211.32
09/07/2018,0.0099%,1211.5
09/06/2018,-0.124%,1211.38
09/05/2018,-0.0503%,1212.88
09/04/2018,-0.0459%,1213.49
08/31/2018,-0.0778%,1214.05
08/30/2018,-0.0101%,1215
08/29/2018,0.0973%,1215.12
08/28/2018,0.0435%,1213.94
08/27/2018,0.0631%,1213.41
08/24/2018,-0.0246%,1212.64
08/23/2018,0.0348%,1212.94
08/22/2018,0.0503%,1212.52
08/21/2018,0.0325%,1211.91
08/20/2018,0.0112%,1211.52
08/17/2018,0.0677%,1211.38
08/16/2018,0.0872%,1210.56
08/15/2018,-0.0455%,1209.51
08/14/2018,-0.0694%,1210.06
08/13/2018,-0.1038%,1210.9
